"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"1400000US21111009106","Census Tract 91.06; Jefferson County; Kentucky","4816","992","2656","571","980","707","0","13","554","202","0","13","49","72","577","292","182","125","395","272",
"1400000US21111009300","Census Tract 93; Jefferson County; Kentucky","5211","761","4145","449","285","209","0","18","20","30","6","10","39","71","716","479","512","452","204","166",
"1400000US21111009401","Census Tract 94.01; Jefferson County; Kentucky","2754","221","2239","249","165","96","0","13","6","8","0","13","9","10","335","217","69","59","266","219",
"1400000US21111009402","Census Tract 94.02; Jefferson County; Kentucky","2768","251","2599","260","16","28","0","13","8","11","0","13","39","52","106","99","75","93","31","30",
"1400000US21111009600","Census Tract 96; Jefferson County; Kentucky","4819","643","4362","672","217","168","0","13","4","4","0","13","48","96","188","146","88","89","100","93",
"1400000US21111009700","Census Tract 97; Jefferson County; Kentucky","2624","321","2304","321","32","29","9","13","2","3","0","13","4","5","273","150","59","40","214","148",
"1400000US21111009800","Census Tract 98; Jefferson County; Kentucky","2569","427","2408","423","15","12","0","13","6","6","0","13","3","4","137","63","44","31","93","51",
"1400000US21111009900","Census Tract 99; Jefferson County; Kentucky","2586","269","2211","206","55","37","2","4","194","149","0","13","31","39","93","53","62","50","31","18",
"1400000US21111010001","Census Tract 100.01; Jefferson County; Kentucky","4213","285","3772","325","84","71","0","13","44","37","0","13","25","28","288","127","174","114","114","58",
"1400000US21111010004","Census Tract 100.04; Jefferson County; Kentucky","4253","767","3578","812","240","146","0","13","200","134","0","13","19","31","216","104","0","13","216","104",
"1400000US21111010005","Census Tract 100.05; Jefferson County; Kentucky","4834","433","4115","440","282","220","0","13","162","103","0","13","82","87","193","103","95","74","98","61",
"1400000US21111010006","Census Tract 100.06; Jefferson County; Kentucky","3647","384","2285","259","745","214","0","13","312","265","4","5","109","84","192","58","81","43","111","51",
"1400000US21111010007","Census Tract 100.07; Jefferson County; Kentucky","4295","336","3889","324","142","97","0","13","38","23","0","13","0","13","226","88","89","52","137","68",
"1400000US21111010008","Census Tract 100.08; Jefferson County; Kentucky","4598","503","3500","492","372","92","23","23","126","156","2","4","149","89","426","210","136","70","290","176",
"1400000US21111010102","Census Tract 101.02; Jefferson County; Kentucky","4466","560","3860","536","178","161","14","20","69","40","0","13","25","24","320","169","172","99","148","137",
"1400000US21111010103","Census Tract 101.03; Jefferson County; Kentucky","3613","397","2770","392","380","339","17","27","87","91","0","13","23","38","336","211","36","44","300","203",
"1400000US21111010104","Census Tract 101.04; Jefferson County; Kentucky","2842","314","2253","331","329","172","0","13","57","50","0","13","13","17","190","107","68","52","122","88",
"1400000US21111010309","Census Tract 103.09; Jefferson County; Kentucky","4472","425","3699","457","252","142","0","13","281","158","0","13","100","67","140","89","12","15","128","92",
"1400000US21111010312","Census Tract 103.12; Jefferson County; Kentucky","2960","318","2691","309","129","86","0","13","99","78","0","13","0","13","41","32","0","13","41","32",
"1400000US21111010313","Census Tract 103.13; Jefferson County; Kentucky","6375","512","5523","590","91","96","0","18","210","101","0","18","41","52","510","220","120","93","390","232",
"1400000US21111010314","Census Tract 103.14; Jefferson County; Kentucky","6803","820","5160","757","355","152","0","18","393","222","7","14","337","293","551","300","174","203","377","224",
"1400000US21111010315","Census Tract 103.15; Jefferson County; Kentucky","4384","595","3615","663","159","123","0","13","208","141","0","13","200","242","202","95","25","34","177","96",
"1400000US21111010316","Census Tract 103.16; Jefferson County; Kentucky","6552","1469","5745","1380","168","135","13","21","362","126","0","18","11","17","253","167","174","157","79","57",
"1400000US21111010317","Census Tract 103.17; Jefferson County; Kentucky","4725","526","3948","609","124","81","0","13","326","145","0","13","12","15","315","170","155","108","160","145",
"1400000US21111010318","Census Tract 103.18; Jefferson County; Kentucky","5366","403","4703","418","186","112","1","4","169","101","0","18","32","33","275","95","152","80","123","66",
"1400000US21111010319","Census Tract 103.19; Jefferson County; Kentucky","4699","789","3177","536","655","205","0","13","227","154","0","13","36","36","604","336","273","223","331","277",
"1400000US21111010320","Census Tract 103.20; Jefferson County; Kentucky","3891","461","1857","390","835","307","4","6","244","114","0","13","194","146","757","426","444","369","313","217",
"1400000US21111010321","Census Tract 103.21; Jefferson County; Kentucky","6626","645","4522","676","583","266","29","47","640","302","0","18","87","87","765","444","631","447","134","96",
"1400000US21111010322","Census Tract 103.22; Jefferson County; Kentucky","3110","505","2266","415","128","103","0","13","568","389","0","13","91","115","57","45","19","28","38","41",
"1400000US21111010323","Census Tract 103.23; Jefferson County; Kentucky","3054","537","2154","593","541","310","0","13","151","87","0","13","13","20","195","136","124","114","71","61",
"1400000US21111010324","Census Tract 103.24; Jefferson County; Kentucky","5332","506","2547","327","1481","450","0","18","480","224","0","18","206","186","618","217","256","151","362","202",
"1400000US21111010403","Census Tract 104.03; Jefferson County; Kentucky","4163","472","3372","490","311","231","6","9","266","148","0","13","0","13","208","123","62","80","146","90",
"1400000US21111010405","Census Tract 104.05; Jefferson County; Kentucky","3686","401","2774","387","635","231","9","18","73","64","0","13","5","6","190","129","83","97","107","73",
"1400000US21111010406","Census Tract 104.06; Jefferson County; Kentucky","6014","708","4666","688","669","234","38","51","135","98","0","18","143","165","363","208","104","78","259","155",
"1400000US21111010407","Census Tract 104.07; Jefferson County; Kentucky","4226","481","2962","496","234","187","0","13","434","282","0","13","320","296","276","120","211","119","65","55",
"1400000US21111010408","Census Tract 104.08; Jefferson County; Kentucky","3920","438","3199","465","285","167","18","28","231","211","0","13","1","3","186","94","81","66","105","68",
"1400000US21111010500","Census Tract 105; Jefferson County; Kentucky","4010","391","3744","390","157","188","0","13","71","62","0","13","1","3","37","33","2","4","35","33",
"1400000US21111010601","Census Tract 106.01; Jefferson County; Kentucky","3156","470","2862","463","20","20","5","8","35","28","0","13","83","60","151","124","30","27","121","121",
"1400000US21111010602","Census Tract 106.02; Jefferson County; Kentucky","3560","419","2462","415","310","128","11","18","255","148","0","13","45","50","477","171","175","125","302","167",
"1400000US21111010701","Census Tract 107.01; Jefferson County; Kentucky","5413","291","3236","570","356","243","0","18","1057","462","0","18","65","67","699","625","555","596","144","144",
"1400000US21111010702","Census Tract 107.02; Jefferson County; Kentucky","5967","493","4054","439","509","274","31","34","898","309","0","18","2","4","473","210","253","185","220","119",
"1400000US21111010706","Census Tract 107.06; Jefferson County; Kentucky","3882","348","3316","371","138","92","18","59","51","57","0","13","0","13","359","247","12","17","347","242",
"1400000US21111010707","Census Tract 107.07; Jefferson County; Kentucky","3596","523","2879","552","185","143","0","13","215","182","0","13","186","275","131","109","46","41","85","95",
"1400000US21111010708","Census Tract 107.08; Jefferson County; Kentucky","2687","388","1785","353","212","148","0","13","228","138","0","13","102","155","360","167","67","59","293","161",
"1400000US21111010800","Census Tract 108; Jefferson County; Kentucky","3512","345","2809","370","204","134","11","17","17","18","0","13","187","178","284","184","65","60","219","176",
"1400000US21111010901","Census Tract 109.01; Jefferson County; Kentucky","5264","817","3369","610","508","298","0","18","77","121","0","18","400","274","910","530","733","469","177","153",
"1400000US21111010902","Census Tract 109.02; Jefferson County; Kentucky","3633","367","3097","394","206","115","0","13","83","100","13","26","77","90","157","81","55","51","102","66",
"1400000US21111011003","Census Tract 110.03; Jefferson County; Kentucky","7060","743","3698","580","1716","620","0","18","711","477","0","18","456","446","479","560","429","561","50","63",
"1400000US21111011005","Census Tract 110.05; Jefferson County; Kentucky","3212","925","1997","898","528","347","0","13","43","46","0","13","43","41","601","311","459","331","142","107",
"1400000US21111011006","Census Tract 110.06; Jefferson County; Kentucky","2617","353","1049","248","954","265","0","13","273","161","0","13","54","42","287","118","150","80","137","87",
"1400000US21111011007","Census Tract 110.07; Jefferson County; Kentucky","3181","630","1164","427","1521","513","0","13","80","139","0","13","33","55","383","189","216","155","167","138",
"1400000US21111011008","Census Tract 110.08; Jefferson County; Kentucky","3245","566","2017","505","696","346","0","13","80","100","0","13","50","91","402","259","279","226","123","85",
"1400000US21111011009","Census Tract 110.09; Jefferson County; Kentucky","3803","637","2967","623","306","227","0","13","153","133","0","13","0","13","377","237","216","241","161","157",
"1400000US21111011109","Census Tract 111.09; Jefferson County; Kentucky","2648","609","1641","283","750","512","0","13","39","49","10","17","28","24","180","113","45","44","135","106",
"1400000US21111011110","Census Tract 111.10; Jefferson County; Kentucky","6247","689","4672","592","986","541","0","18","89","88","0","18","12","20","488","226","45","56","443","221",
"1400000US21111011111","Census Tract 111.11; Jefferson County; Kentucky","5039","592","3981","535","348","326","0","18","534","304","0","18","15","23","161","111","15","23","146","109",
"1400000US21111011112","Census Tract 111.12; Jefferson County; Kentucky","3322","625","2711","628","366","205","0","13","56","52","0","13","38","44","151","92","133","87","18","24",
"1400000US21111011113","Census Tract 111.13; Jefferson County; Kentucky","2927","401","2170","366","554","238","0","13","155","126","0","13","1","3","47","46","11","16","36","37",
"1400000US21111011114","Census Tract 111.14; Jefferson County; Kentucky","5174","668","3333","616","1132","308","0","18","0","18","0","18","0","18","709","500","439","308","270","312",
"1400000US21111011115","Census Tract 111.15; Jefferson County; Kentucky","3595","750","2602","770","387","244","0","13","27","26","0","13","58","66","521","296","427","311","94","75",
"1400000US21111011116","Census Tract 111.16; Jefferson County; Kentucky","3897","624","3245","620","212","91","9","15","10","17","0","13","52","68","369","332","236","301","133","115",
"1400000US21111011117","Census Tract 111.17; Jefferson County; Kentucky","3252","459","2004","366","803","361","0","13","0","13","0","13","57","90","388","175","113","78","275","156",
"1400000US21111011118","Census Tract 111.18; Jefferson County; Kentucky","3774","833","3215","826","294","217","0","13","0","13","0","13","15","18","250","178","74","79","176","166",
"1400000US21111011201","Census Tract 112.01; Jefferson County; Kentucky","2088","759","1352","768","478","212","0","13","71","66","0","13","0","13","187","124","71","49","116","107",
"1400000US21111011202","Census Tract 112.02; Jefferson County; Kentucky","3634","402","1058","326","1119","388","0","13","144","175","0","13","115","148","1198","360","806","358","392","233",
"1400000US21111011301","Census Tract 113.01; Jefferson County; Kentucky","1818","327","533","196","1035","201","3","5","48","81","0","13","33","43","166","170","68","152","98","77",
"1400000US21111011302","Census Tract 113.02; Jefferson County; Kentucky","8155","1157","1488","847","3218","658","0","18","202","304","0","18","196","234","3051","866","2426","844","625","343",
"1400000US21111011403","Census Tract 114.03; Jefferson County; Kentucky","1542","111","1214","130","104","77","0","13","0","13","0","13","95","60","129","57","68","47","61","36",
"1400000US21111011404","Census Tract 114.04; Jefferson County; Kentucky","4601","759","1560","708","1100","312","66","102","35","40","0","13","539","329","1301","355","1161","348","140","128",
"1400000US21111011405","Census Tract 114.05; Jefferson County; Kentucky","4246","726","1362","475","2202","656","21","47","0","13","0","13","176","173","485","346","210","235","275","236",
"1400000US21111011406","Census Tract 114.06; Jefferson County; Kentucky","6047","922","2001","568","2378","773","0","18","0","18","0","18","490","330","1178","729","880","720","298","170",
"1400000US21111011506","Census Tract 115.06; Jefferson County; Kentucky","5153","621","3510","632","1135","510","0","18","55","58","0","18","216","278","237","151","35","46","202","158",
"1400000US21111011508","Census Tract 115.08; Jefferson County; Kentucky","6454","609","3305","545","1781","534","0","18","661","480","0","18","67","67","640","312","123","110","517","294",
"1400000US21111011509","Census Tract 115.09; Jefferson County; Kentucky","4448","834","2419","533","1506","945","0","13","30","30","7","12","221","196","265","218","152","178","113","90",
"1400000US21111011513","Census Tract 115.13; Jefferson County; Kentucky","4158","491","3198","493","469","179","0","13","0","13","0","13","123","122","368","192","217","159","151","136",
